,id,tweet_id,post_date,content,relevant,final_stance,final_sentiment,final_children
0,523,A522,2020-09-15,"A cabeça pensa onde o pé pisa. Quem governa de dentro do escritório com ar-condicionado não conhece o dia-a-dia das escolas em POA. O protocolo de volta às aulas de Marchezan, como diz @ProfAlexFraga, é miserável e coloca a vida de alunos e professores em risco. #SemVacinaSemAula",True,favorable,negative,true
1,458,A457,2020-11-20,"Sarto vai fazer um grande Programa de Enfrentamento à Pandemia, vai garantir a vacina da Covid e muito mais! 🤝\n\nConfira o programa de hoje: #Fortaleza #CaminhandoJuntos #ComForçaECoragem #Sarto12 #FortalezaCadaVezMelhor #TrabalhoSério",True,favorable,positive,false
2,446,A445,2020-12-18,A Câmara dos Deputados votou hoje a MP que trata da adesão do Brasil à Aliança de Vacinação contra a Covid. O @psol50 encaminhou voto favorável à vacina. Nosso partido defende que o negacionismo de Bolsonaro é um projeto de uma sociedade movida pelo ódio e precisa ser derrotado.,True,favorable,negative,false
3,547,A546,2020-11-10,Tirar Bolsonaro do poder é uma questão de vida ou morte. Um presidente que impede testes para produção de uma vacina por pura guerra ideológica e que zomba da dor do povo precisa ser retirado imediatamente do poder. #ForaBolsonaro #impeachmentDeBolsonaro #bolsonarogenocida,True,favorable,negative,false
4,848,A847,2020-09-24,"E a LIESA decidiu adiar os desfiles do #CarnavalRJ. Sem data, não dá para pensar em sambódromo sem a esperada vacina. Agora é olhar pros profissionais do Carnaval, que precisam de apoio até o fim da pandemia. #DelegadaMarthaRocha #CarnavalRiodeJaneiro",True,favorable,negative,false
5,590,A589,2020-12-20,Idosos com Covid-19 foram isolados em uma sala com um paciente morto no Amazonas. E o ministro da Saúde ainda pergunta o porquê da pressa pela vacina. Esse é o Brasil que a propaganda do governo Bolsonaro não mostra. ,True,favorable,negative,false
6,1970,A1969,2020-12-08,"@donViolato @DanskHenrich @DeputadaMariana Bom dia! \nDifícil é o fato de saber que politizaram algo tão importante. Nós queremos a vacina e vamos nos preparar para qualquer uma, desde que autorizada pelos órgãos competentes.",True,favorable,negative,false
7,1899,A1898,2020-12-16,"“Ah, mas a vacina causa mutação genética...”\nNÃO CAUSA, vamos parar de fake news e ouvir a Ciência! A vacina é uma escolha pela vida! ",True,favorable,negative,false
8,237,A236,2020-08-11,"No dia em que a Rússia anuncia a primeira vacina contra o coronavírus, em meio a muita desconfiança, outras frentes seguem seu trabalho. Que a gente possa ter ótimas notícias em breve!\n\n#coronaviruscuritiba #coronavirusparana #curitiba \n\n",True,favorable,positive,false
9,1893,A1892,2020-12-10,Vamos continuar a mobilização para ver se esse governo irresponsável e incompetents se mexe e trabalha ! #VacinaJa ,True,favorable,negative,false
10,1734,A1733,2020-02-14,"Reunimos também com o pré-candidato a vereador pelo PSB de Imperatriz, Johnson Alves.\n•\n#EssaLutaéNossa ",False,,,
11,105,A104,2020-08-11,"DIA DO ESTUDANTE\nEstamos vivendo um momento diferente com a pandemia do Covid-19. Com isso vocês estudantes, estão fora das salas de aula. Sabemos que isto é temporário e estamos torcendo para a chegada urgente da vacina. Enquanto isto, continuem ligados nos estudos em suas",True,favorable,positive,true
12,1098,A1097,2020-05-19,O #Brasil anda na contramão e corre o risco de ser um dos últimos países a receber a vacina contra a #covid19. Tudo isso graças ao desgoverno do presidente #genocida,True,favorable,negative,false
13,1194,A1193,2020-10-26,"""Não sei porque correr com a vacina.""\n\n20 milhões de crianças em idade escolar meses fora da sala de aula.\nMais de 10 milhões de pessoas com mais de 60 anos.\n154 mil famílias que perderam entes queridos.\n\nElas sabem, Bolsonaro.",True,favorable,negative,true
14,1212,A1211,2020-12-11,Pico\n\neu vou tomar vacina\nquem não quiser\nque tome cloroquina\nnão vou passar vergonha\nquem não quiser\nque escute esse pamonha ,True,favorable,negative,false
