tweet_id,content,post_date,relevant,final_stance,final_sentiment,final_children
A522,"A cabeça pensa onde o pé pisa. Quem governa de dentro do escritório com ar-condicionado não conhece o dia-a-dia das escolas em POA. O protocolo de volta às aulas de Marchezan, como diz @ProfAlexFraga, é miserável e coloca a vida de alunos e professores em risco. #SemVacinaSemAula",2020-09-15,1,favorable,negative,true
A457,"Sarto vai fazer um grande Programa de Enfrentamento à Pandemia, vai garantir a vacina da Covid e muito mais! 🤝\n\nConfira o programa de hoje: #Fortaleza #CaminhandoJuntos #ComForçaECoragem #Sarto12 #FortalezaCadaVezMelhor #TrabalhoSério",2020-11-20,1,favorable,positive,false
A445,"A Câmara dos Deputados votou hoje a MP que trata da adesão do Brasil à Aliança de Vacinação contra a Covid. O @psol50 encaminhou voto favorável à vacina. Nosso partido defende que o negacionismo de Bolsonaro é um projeto de uma sociedade movida pelo ódio e precisa ser derrotado.",2020-12-18,1,favorable,negative,false
A546,"Tirar Bolsonaro do poder é uma questão de vida ou morte. Um presidente que impede testes para produção de uma vacina por pura guerra ideológica e que zomba da dor do povo precisa ser retirado imediatamente do poder. #ForaBolsonaro #impeachmentDeBolsonaro #bolsonarogenocida",2020-11-10,1,favorable,negative,false
A847,"E a LIESA decidiu adiar os desfiles do #CarnavalRJ. Sem data, não dá para pensar em sambódromo sem a esperada vacina. Agora é olhar pros profissionais do Carnaval, que precisam de apoio até o fim da pandemia. #DelegadaMarthaRocha #CarnavalRiodeJaneiro",2020-09-24,1,favorable,negative,false
A589,"Idosos com Covid-19 foram isolados em uma sala com um paciente morto no Amazonas. E o ministro da Saúde ainda pergunta o porquê da pressa pela vacina. Esse é o Brasil que a propaganda do governo Bolsonaro não mostra. ",2020-12-20,1,favorable,negative,false
A1969,"@donViolato @DanskHenrich @DeputadaMariana Bom dia! \nDifícil é o fato de saber que politizaram algo tão importante. Nós queremos a vacina e vamos nos preparar para qualquer uma, desde que autorizada pelos órgãos competentes.",2020-12-08,1,favorable,negative,false
A1898,"“Ah, mas a vacina causa mutação genética...”\nNÃO CAUSA, vamos parar de fake news e ouvir a Ciência! A vacina é uma escolha pela vida! ",2020-12-16,1,favorable,negative,false
A236,"No dia em que a Rússia anuncia a primeira vacina contra o coronavírus, em meio a muita desconfiança, outras frentes seguem seu trabalho. Que a gente possa ter ótimas notícias em breve!\n\n#coronaviruscuritiba #coronavirusparana #curitiba \n\n",2020-08-11,1,favorable,positive,false
A1892,"Vamos continuar a mobilização para ver se esse governo irresponsável e incompetents se mexe e trabalha ! #VacinaJa ",2020-12-10,1,favorable,negative,false
A1733,"Reunimos também com o pré-candidato a vereador pelo PSB de Imperatriz, Johnson Alves.\n•\n#EssaLutaéNossa ",2020-02-14,0,"","",""
A104,"DIA DO ESTUDANTE\nEstamos vivendo um momento diferente com a pandemia do Covid-19. Com isso vocês estudantes, estão fora das salas de aula. Sabemos que isto é temporário e estamos torcendo para a chegada urgente da vacina. Enquanto isto, continuem ligados nos estudos em suas",2020-08-11,1,favorable,positive,true
A1097,"O #Brasil anda na contramão e corre o risco de ser um dos últimos países a receber a vacina contra a #covid19. Tudo isso graças ao desgoverno do presidente #genocida",2020-05-19,1,favorable,negative,false
A1193,"""Não sei porque correr com a vacina.""\n\n20 milhões de crianças em idade escolar meses fora da sala de aula.\nMais de 10 milhões de pessoas com mais de 60 anos.\n154 mil famílias que perderam entes queridos.\n\nElas sabem, Bolsonaro.",2020-10-26,1,favorable,negative,true
A1211,"Pico\n\neu vou tomar vacina\nquem não quiser\nque tome cloroquina\nnão vou passar vergonha\nquem não quiser\nque escute esse pamonha ",2020-12-11,1,favorable,negative,false
A1240,"Enquanto assistimos às cenas de países iniciando a vacinação, nos deparamos hj com um relatório do TCU que prova o que sabíamos: o governo Bolsonaro não possui um plano mínimo de imunização. Vamos aos pontos:",2020-12-21,1,favorable,negative,false
A1297,"É só propaganda!\n\nNão apresentou plano de vacinação.\nNão comprou seringas, agulhas e nem algodão!\nNão tem contrato c/ a Pfeizer e refuta a vacina do Butantan\n\nNenhuma vacina foi  aprovada pela Anvisa.\nEstamos no dia 10 de dezembro\n\nGoverno promete vacinar ainda este mês. Como?.",2020-12-09,1,favorable,negative,false
A136,"NACIONAL | A discussão correta é a de como podemos preservar a vida daqueles que são mais atingidos pela pandemia. A vacinação em massa é a solução científica para a classe trabalhadora\n",2020-10-23,1,favorable,unclear,false
A1395,"Já há no @STF_oficial inclusive pedido de @FlavioDino para que os estados possam comprar a vacina diretamente, vez que a União tem atuado, deliberada e irresponsavelmente, contra a vacina, o que causará danos terríveis ao Brasil - em vidas e na economia. 👇🏿",2020-12-11,1,favorable,negative,false
A1448,"O Brasil se tornou uma grande referência mundial em programas de vacinação por conta da infraestrutura nacional criada no combate às doenças ao longo dos anos. Esta liderança do governo federal deve ser mantida também na vacinação contra a COVID-19. 👇",2020-12-16,1,favorable,positive,false
A1450,"Desejo a todos os aracajuanos um feliz ano novo. Vivemos um momento difícil e espero que, em 2021, os brasileiros sejam vacinados para darmos um passo adiante. Tenho a esperança de que vamos vencer a pandemia e fazer mais e melhor pela população. #FanFM",2020-12-30,1,favorable,positive,false
A1461,"Hoje tem #TBT com um vídeo da campanha. Eu fui o único candidato a abordar o tema da vacina e a dizer que iria fazer a vacinação em Aracaju. Hoje isso se torna um imperativo para se superar a pandemia da Covid-19. #Vacinaparatodosjá ",2020-12-18,1,favorable,positive,false
A1576,"MP DA VACINA\n1 - ""A sugestão foi apresentada pela Comissão Externa da Câmara que acompanha que acompanha as medidas de combate ao coronavírus, após visita de quinze deputados da Comissão ao Instituto Bio-Manguinhos, na terça-feira (28)"". ",2020-08-07,1,unclear,unclear,false
A1595,"É uma irresponsabilidade pensar em retomar as aulas presenciais durante uma pandemia. Não há segurança para os trabalhadores da educação nem para o conjunto da comunidade escolar, tanto na rede pública quanto privada. Só depois da vacina. ",2020-09-08,1,favorable,negative,true
A1643,"Atenção: Mais de 1.100.000 de pessoas já receberam vacina contra o COVID em 4 países diferentes.\n\nAs vacinas causaram 3 reações alérgicas relevantes, os 3 já se recuperaram e estão bem.\n\nNesse intervalo de tempo o COVID matou mais de 90 mil pessoas.\n\nLembrem dessa comparação.",2020-12-21,1,favorable,negative,false
A402,"Inglaterra começa a vacinar os ingleses contra Convid-19 na próxima semana.O Brasil nem seringas diz ter. Grande tecnologia: fabricar seringas!!! Meu Deus.Sem contar com as querelas do Bolsonaro com o Dória,dificultando a aquisição de vacinas pelo Instituto Butantã, em São Paulo.",2020-12-02,1,favorable,negative,false
A981,"“Adoraria dizer que existe uma cura milagrosa e uma vacina efetiva contra o Covid, mas infelizmente ainda não estamos lá”, acrescenta. “Elas provavelmente levarão meses a anos para serem desenvolvidas, e precisamos ter paciência”.",2020-05-16,1,unclear,negative,false
A986,"Rússia planeja testes clínicos da vacina contra o coronavírus em duas semanas ",2020-05-31,1,favorable,positive,false
A473,"Os ricos trouxeram a covid pro Brasil. Os pobres foram os que mais morreram. Adivinhem quem serão os primeiros vacinados? ",2020-11-18,1,favorable,negative,false
A489,"A vacina é o #Vote13! ",2020-11-14,0,"","",""
A698,"2020 foi um ano muito difícil para todas e todos nós. Obrigada por terem lutado e resistido junto com a gente. Nas festas de final de ano, cuidem daqueles que vocês amam. Um 2021 com muita saúde, vacina e união. Um beijo e boa luta. ❤️ ",2020-12-24,1,favorable,positive,false
A785,"Não é só a Covid que trás sofrimento às favelas: a @agencia_fiocruz lançou o boletim ""Radar Covid-19 Favelas"", que traz informações sobre saneamento, distribuição de água e coleta de lixo. Na 1ª edição, as favelas do Catiri, Jacarezinho, Manguinhos e Maré.",2020-08-03,0,"","",""
A852,"A audiência pública da Comissão de Saúde, que presido, com a @SaudeGovRJ trouxe esclarecimentos, mas não o suficiente. Fomos informados que o Rio irá seguir o planejamento do Governo Federal e usar apenas vacinas do SUS. Mas ainda faltam respostas. #Covid19",2020-12-03,1,favorable,negative,false
A866,"My thoughts and prayers are with @BorisJohnson and his family as he continues to receive treatment in hospital.\n\nThis horrific virus does not discriminate. Anyone can get it. Anyone can spread it. Please #StayHomeSaveLives",2020-04-06,0,"","",""
A607,"URGENTE: Vacina de Oxford para covid-19 é segura e induz resposta imune, dizem cientistas\n ",2020-07-21,1,favorable,positive,false
A984,"Esperança de vacina ",2020-05-24,1,favorable,positive,false
A243,"Ótima noticia! A farmacêutica americana Pfizer protocolou hoje resultados de testes da fase 3 de sua vacina contra a covid-19 na Anvisa. Os documentos agora passam por análise do órgão.  ",2020-12-16,1,favorable,positive,false
A240,"O grande assunto hoje em todo o mundo é a vacina. O Reino Unido deu a largada para a imunização contra a Covid-19. É a esperança que renasce!! A imunização significa a nossa vida de volta, em familia, com amigos! Que a ciência seja vitoriosa e que tudo dê certo! ",2020-12-08,1,favorable,positive,false
A1849,"Aquisição de vacinas que cumprirem todas as etapas de aprovação, em número suficiente para imunizar todos os brasileiros e rito sumário na análise pela Anvisa, para garantir, o quanto antes, o início da vacinação, coordenada pela União, através do PNI. O foco tem que ser este...",2020-12-10,1,favorable,negative,false
A1197,"“Um tema tão sério quanto a vacina não pode virar disputa política. O Bolsonaro quer ir contra o básico. E o Dória quer surfar em cima da vacina. Os dois estão errados. Vou trazer os melhores especialistas e fazer um amplo programa de vacinação.” #BoulosNoRatinho",2020-11-03,1,favorable,negative,false
A1280,"Pressionada, Anvisa autoriza importação dos primeiros 6 milhões de doses da vacina chinesa. Brasileiros têm direito à imunização. Só assim vida voltará ao normal e economia poderá reabrir totalmente. Não é na base do achismo. É da ciência e racionalidade.",2020-10-23,1,favorable,negative,false
A138,"POR UM PLANO EMERGENCIAL DE VACINAÇÃO! VACINA PARA TODOS JÁ! | O Brasil é o terceiro país com mais casos de COVID-19 e o segundo em número de mortos\n\nLeia mais  ",2020-12-17,1,favorable,negative,false
A1428,"Se houver demanda?? Esse é o ministro da saúde do nosso país, com centenas de milhares de mortos. Inaceitável! Uma vergonha!\n\nInacreditável: Pazuello diz que comprará mais vacinas ""se houver demanda""  via @UOLNoticias @UOL",2020-12-08,1,favorable,negative,false
A1460,"A vacina e a ampla imunização da sociedade não são questões ideológicas, são medidas sanitárias necessárias e vitais para controlar uma pandemia com consequências trágicas para todos nós, como é a COVID-19. #Vacinaparatodosjá! ",2020-12-11,1,favorable,negative,false
A1480,"A vacina já está na terceira e última fase de testes. Esperança para todos nós! 🇧🇷\n.\n.\n#DepFederalNicoletti\n#NicolettiFederal\n#PraRoraimaAvançar",2020-08-03,1,favorable,positive,false
A1514,"Independente de qm estará prefeito, de governos, entes externos, Floripa tem q garantir imunização dos seus habitantes. Por isso colocamos no orçamento de 2021 recursos necessários p/ compra de vacina, q tenha autorização do MS, e que devolva a nossa gente uma vida normal. 👇🏻👇🏻👇🏻",2020-10-23,1,favorable,negative,false
A1532,"@ttatirezende CoronaVac, do @butantanoficial ❤️",2020-12-19,1,favorable,positive,false
A1587,"Bora apoiar a troca de Fogos por Vacina? @CarlosAlbertoFM @kelpslimaRN @senadorjean @DepEzequielRN @fatimabezerra @carloseduardo12 @HermanoMorais @tiagorebolo @NevinhaValentim @cglss77 @NatalSalve Assinem a petição e/ou divulguem, pfv!  ",2020-12-05,1,favorable,unclear,false
A1605,"3/ Ou seja: em meio à pandemia, a prioridade de Trump é defender os interesses econômicos das grandes empresas norte-americanas. \n\nJá a China comprometeu-se com a OMS a liberar quaisquer vacinas para todos. \n\n@PTnoSenado @FlavioDino @SenadorRogerio @senadorhumberto ",2020-05-19,1,favorable,negative,false
A1688,"Acesse na íntegra a nossa Nota de Posicionamento \nsobre a vacina contra a #COVID19 ➡️  @CinthiaCRibeiro @GeanLoureiro @EdvaldoNogueira @conasemsoficial @undime",2020-12-09,1,unclear,unclear,false
A1728,"Não bastasse todas as milhares de vidas que perdemos na pandemia, o fato de sermos um dos países mais afetados no mundo pela Covid-19 por conta do negacionismo e agora nem vacina Bolsonaro quer comprar por politicagem e preconceito.",2020-10-22,1,favorable,negative,false
A1797,"É preciso esclarecer que a grande maioria dos insumos para medicamentos produzidos no Brasil vem da China. São eles os maiores produtores de biotecnologia do mundo.\n\nDefendemos vacina para todos. É preciso salvar vidas!",2020-12-18,1,favorable,positive,false
A390,"Estamos entrando num nível de barbárie inimaginável. O capitão de Brasília comemora a morte de um voluntário pela ciência no teste da vacina. Toda vitória de Bolsonaro é uma derrota nossa e o prêmio desse genocida é a contagem dos mortos.",2020-11-10,1,favorable,negative,false
A333,"Vacina é um Direito! ",2020-10-21,1,favorable,positive,false
A988,"Uma oportunidade como essa nos permite ter acesso à vacina contra o novo coronavírus com mais facilidade e rapidez.\nAvançamos cada dia mais nessa luta! ✅",2020-06-08,1,favorable,positive,false
A609,"Rússia afirma ter vacina contra Covid-19 aprovada em duas semanas ",2020-07-29,1,unclear,positive,false
A549,"Mesmo após diretor do Butantan ter afirmado que morte do voluntário não tem relação com os testes da coronavac, Bolsonaro segue espalhando fake news e jogando com a vida das pessoas. Isso só mostra a urgência de derrotarmos esse projeto obscurantista e da morte! #ForaBolsonaro",2020-11-10,1,favorable,negative,false
A1366,"A mídia informa que Bolsonaro anunciou que não comprará a vacina contra a Covid Coronavac, fabricada na China. Se isso se confirmar, estará materializada a responsabilidade direta do presidente pela não imunização e, consequentemente, pelas mortes que vierem a ocorrer. 👇🏿",2020-10-21,1,favorable,negative,false
A2046,"O MonitoraCovid-19, sistema que integra dados sobre o novo coronavírus no Brasil e no mundo, tem acompanhado como anda a adesão às medidas de isolamento social recomendadas pela OMS.\n\n#Fiocruz\n#covid19",2020-04-09,0,"","",""
A1724,"Aproveitei  para anunciar que vamos lançar, já na transição de gestão, o nosso comitê próprio, com o objetivo de desenhar um caminho para otimizar o processo de vacinação da nossa população, uma eventual aquisição de vacina e um plano de priorização das faixas de risco. +",2020-12-09,1,favorable,positive,false
A1681,"Vários países no mundo já iniciam o processo de imunização de suas populações. O Brasil, segue a linha negacionista e de total falta de comando por parte do governo Bolsonaro. O @psol50 defende vacinação para todos os brasileiros, já! Assine e compartilhe\n",2020-12-16,1,favorable,negative,false
A990,"Na corrida pela vacina para covid-19, apenas um estudo está na fase de testagem maciça ",2020-06-13,1,unclear,negative,false
A248,"Boa, @PDT_Nacional!🌹🇧🇷 #agoraé12 \n\n""Mais uma vez o PDT asssume uma posição de vanguarda na oposição, ao ingressar com uma ADI no STF para garantir que estados e municípios tenham autonomia para determinar vacinação compulsória contra a COVID-19.""\n\n",2020-10-21,1,favorable,positive,false
A1426,"Anvisa autoriza retomada de testes da CoronaVac  via @UOLNoticias @UOL",2020-11-11,1,favorable,positive,false
A1761,"✅ VACINAÇÃO H1N1 RETOMADA \n\nA partir desta segunda-feira (30) e será: \n\n• Por ordem alfabética; \n• Idosos pela manhã (8h às 12h);\n• Crianças à tarde (13h às 17h);\n• Drive Thru (sem sair do carro) das 8h às 16h somente para idosos. ",2020-03-29,1,favorable,positive,false
A1067,"Como prefeito de Salvador, meu compromisso será com a liberdade e saúde das pessoas. Caso eleito, não haverá obrigatoriedade de vacinas sem a devida comprovação, e o uso de máscaras será opcional. Colocaremos à disposição o tratamento precoce nas unidades de saúde da cidade. 2️⃣8️⃣",2020-10-20,1,unfavorable,positive,false
